Designator,Mid X,Mid Y,Rotation,Layer
C1,14.0,-31.0,270.0,top
C10,46.0,-43.0,90.0,top
C11,48.0,-39.0,90.0,top
C12,12.5,-3.5,0.0,top
C2,14.0,-36.5,270.0,top
C3,36.0,-15.5,270.0,top
C4,46.0,-21.0,90.0,top
C5,48.0,-17.0,90.0,top
C6,36.0,-26.5,270.0,top
C7,36.0,-37.5,270.0,top
C8,46.0,-31.5,90.0,top
C9,48.0,-28.0,90.0,top
D1,11.0,-30.0,270.0,top
D2,28.5,-15.25,270.0,top
D3,54.5,-22.0,270.0,top
D4,54.5,-33.0,270.0,top
D5,54.5,-44.0,270.0,top
D6,28.5,-26.25,270.0,top
D7,28.5,-37.25,270.0,top
J1,7.5,-20.0,180.0,top
J10,55.0,-6.5,180.0,top
J2,40.0,-6.5,180.0,top
J3,25.0,-6.5,180.0,top
J4,22.5,-21.0,90.0,top
J5,22.5,-32.0,90.0,top
J6,22.5,-43.0,90.0,top
J7,85.0,-20.0,270.0,top
J8,75.0,-6.5,180.0,top
J9,65.0,-6.5,180.0,top
K1,66.5,-21.5,0.0,top
K2,66.5,-32.5,0.0,top
K3,66.5,-43.5,0.0,top
Q1,7.5,-30.0,90.0,top
Q10,45.0,-28.0,180.0,top
Q11,45.0,-39.0,180.0,top
Q12,49.0,-31.5,270.0,top
Q13,49.0,-43.0,270.0,top
Q2,39.0,-15.5,0.0,top
Q3,41.0,-21.5,270.0,top
Q4,45.0,-17.0,180.0,top
Q5,49.0,-21.0,270.0,top
Q6,39.0,-26.5,0.0,top
Q7,39.0,-37.5,0.0,top
Q8,41.0,-32.5,270.0,top
Q9,41.0,-43.5,270.0,top
R1,7.5,-33.0,0.0,top
R10,42.0,-18.0,270.0,top
R11,73.0,-14.0,180.0,top
R12,32.0,-25.0,90.0,top
R13,32.0,-36.0,90.0,top
R14,34.0,-26.5,90.0,top
R15,34.0,-37.5,90.0,top
R16,38.0,-32.5,270.0,top
R17,38.0,-43.5,270.0,top
R18,39.0,-29.5,0.0,top
R19,39.0,-40.5,0.0,top
R2,33.5,-12.5,0.0,top
R20,28.5,-29.75,270.0,top
R21,28.5,-40.75,270.0,top
R22,44.0,-31.5,270.0,top
R23,52.0,-30.5,270.0,top
R24,50.0,-28.0,270.0,top
R25,44.0,-43.0,270.0,top
R26,52.0,-41.5,270.0,top
R27,50.0,-39.0,270.0,top
R28,42.0,-29.0,270.0,top
R29,42.0,-40.0,270.0,top
R3,34.0,-15.5,90.0,top
R30,63.0,-14.0,180.0,top
R31,53.0,-14.0,180.0,top
R32,12.5,-6.5,180.0,top
R4,38.0,-21.5,270.0,top
R5,39.0,-18.5,0.0,top
R6,28.5,-18.75,270.0,top
R7,44.0,-21.0,270.0,top
R8,52.0,-19.5,270.0,top
R9,50.0,-17.0,270.0,top
